Titre de la figure,Description de l'image,Type d'illustration,Numéro de page,Source
Mbarek Bekkay et Christian Pineau,Le Premier ministre marocain Mbarek Bekkay serrant la main du ministre français Christian Pineau après la signature de l'acte d'indépendance.,Photographie,230,26
Remise des lettres de créance à la Princesse Lalla Aicha,"Le Roi Hassan II remettant ses lettres de créance à sa sœur, la Princesse Lalla Aicha, nommée ambassadrice au Royaume-Uni.",Photographie,252,26
Le Roi Hassan II et la Reine Elisabeth II,Le souverain marocain et la Reine du Royaume-Uni côte à côte dans un carrosse royal lors d'une visite officielle à Londres.,Photographie,254,26
Le Roi Hassan II au sommet de Belgrade,Le Roi Hassan II prononçant un discours à la tribune de la conférence des pays non-alignés à Belgrade en 1961.,Photographie,309,26
Le Roi Hassan II reçoit le Pape Jean-Paul II,Rencontre historique à l'aéroport de Casablanca entre le Roi Hassan II et le Pape Jean-Paul II lors de sa visite au Maroc en 1985.,Photographie,314,26
Lettre de Sa Majesté au Marché Commun Européen,Fac-similé de la lettre officielle datée du 8 juillet 1987 demandant l'adhésion du Maroc aux Communautés Européennes.,Fac-similé de document,322,26
Carte du Maroc,"Une carte géographique montrant les principales villes du Maroc (Tanger, Rabat, Casablanca, Marrakech, Agadir, Fès, Meknès), les chaînes de l'Atlas (Moyen, Haut et Anti-Atlas), le Rif, ainsi que les pays limitrophes (Espagne, Portugal, Algérie, Mali) et le Sahara occidental.",Carte,6,27
La politique des barrages,Encadré textuel traitant de l'histoire et des statistiques de l'irrigation et de la construction de barrages au Maroc depuis l'indépendance.,Fac-similé de document (Encadré),20,27
Le « développement par le golf »,Encadré informatif expliquant l'importance du golf dans la stratégie de développement et la vie du roi Hassan II.,Fac-similé de document (Encadré),24,27
Miséreux et milliardaires,Encadré analysant les disparités de richesse extrêmes entre les communes pauvres comme Sidi Ali et les quartiers luxueux des grandes villes.,Fac-similé de document (Encadré),29,27
Être noir aujourd'hui au Maroc,"Encadré discutant de la situation sociale, historique et des discriminations vécues par les populations noires et les étudiants subsahariens au Maroc.",Fac-similé de document (Encadré),40,27
La question du Sahara occidental,"Encadré explicatif sur les enjeux politiques, le Front Polisario et le conflit territorial lié au Sahara occidental depuis 1975.",Fac-similé de document (Encadré),42,27
Les langues du Maroc,"Encadré présentant la diversité linguistique du pays : arabe dialectal, arabe classique, parlers berbères (tachelhit, tamazight, tarifit) et l'usage du français et de l'anglais.",Fac-similé de document (Encadré),47,27
L'affaire Ben Barka,"Encadré historique relatant l'enlèvement à Paris en 1965 de Mehdi Ben Barka, principal opposant à Hassan II.",Fac-similé de document (Encadré),70,27
Les deux coups d'État manqués de 1971 et 1972,Encadré détaillant les tentatives de putsch militaire de Skhirat (1971) et l'attaque du Boeing royal (1972).,Fac-similé de document (Encadré),72,27
Comment le pouvoir contrôle le pays,"Encadré décrivant la structure de l'appareil sécuritaire et administratif marocain (walis, caïds, moqaddems).",Fac-similé de document (Encadré),83,27
Le tourisme et la société marocaine,"Encadré analysant l'impact du tourisme de masse sur la société, incluant les problématiques du coût du logement et du tourisme sexuel.",Fac-similé de document (Encadré),90,27
"Le haschisch, une manne pour le pouvoir et les paysans","Encadré sur l'économie du cannabis dans le Rif, sa production mondiale et ses implications politiques.",Fac-similé de document (Encadré),98,27
L'Instance Équité et Réconciliation,Encadré présentant la commission nationale chargée d'enquêter sur les violations des droits de l'homme commises par le passé.,Fac-similé de document (Encadré),104,27
L'état des médias,"Encadré fournissant des statistiques sur la presse écrite marocaine, sa diversité et ses tirages.",Fac-similé de document (Encadré),107,27
"Les Marocaines, citoyennes majeures","Encadré sur l'évolution du statut des femmes, la réforme de la Moudawana et leur place dans les secteurs public et professionnel.",Fac-similé de document (Encadré),113,27
"Être fonctionnaire, le rêve des diplômés chômeurs",Encadré sur la crise des diplômés au chômage et leurs mouvements de protestation.,Fac-similé de document (Encadré),118,27
Les morts sur les routes : un bilan désastreux,"Encadré sur la sécurité routière, les statistiques d'accidents et la vétusté du parc automobile.",Fac-similé de document (Encadré),122,27
Le planning familial,Encadré sur l'histoire de la contraception au Maroc et les mutations démographiques.,Fac-similé de document (Encadré),126,27
Cheikh Yassine,Portrait biographique du fondateur du mouvement Justice et Bienfaisance.,Fac-similé de document (Encadré),140,27
Le soufisme,Encadré définissant les fondements spirituels et ésotériques du soufisme au Maroc.,Fac-similé de document (Encadré),145,27
Les prédicatrices,Encadré sur l'apparition des mourchidates (femmes guides religieux) dans les mosquées.,Fac-similé de document (Encadré),150,27
"Chamharouch, sur la piste du Toubkal",Encadré décrivant un lieu de pèlerinage berbère réputé pour la guérison des maladies mentales.,Fac-similé de document (Encadré),160,27
La communauté juive,Encadré historique sur la présence millénaire des juifs au Maroc et leur départ massif après 1948.,Fac-similé de document (Encadré),164,27
La grande mosquée Hassan-II,"Encadré sur les détails architecturaux, les prouesses techniques et le financement de l'édifice à Casablanca.",Fac-similé de document (Encadré),174,27
Les riads,Encadré expliquant l'architecture traditionnelle des maisons à patio et leur transformation actuelle en établissements touristiques.,Fac-similé de document (Encadré),182,27
Proverbes et dictons,Encadré regroupant des adages populaires marocains illustrant la sagesse et la culture locale.,Fac-similé de document (Encadré),193,27
"Abderrahim Yamou, une valeur sûre",Portrait de l'artiste peintre et sculpteur contemporain marocain.,Fac-similé de document (Encadré),198,27
La tanjia marrakchia,Encadré culinaire présentant la recette et l'origine de ce plat traditionnel de Marrakech.,Fac-similé de document (Encadré),207,27
Chefchaouen,"Encadré décrivant l'histoire, l'architecture bleue et les particularités de cette cité du Rif.",Fac-similé de document (Encadré),211,27
Tableau des situations de communication,"Un tableau croisé classant la communication selon deux axes : sa durée (permanente ou occasionnelle) et sa direction (interne, bilatérale ou multilatérale).",Tableau,55,28
Schéma de la communication de Jakobson,"Représentation visuelle du processus de communication incluant l'émetteur, le message, le récepteur, le référent, le code et le canal.",Schéma,264,28
Afrique Romaine au IIIe siècle,"Carte géographique montrant les limites des provinces de la Maurétanie Tingitane, Maurétanie Césarienne, Numidie et Africa, ainsi que les routes romaines et les principales villes.",Carte,84-85,29
Tanger la Blanche,"Vue de la ville de Tanger depuis le large, montrant ses villas de style européen, ses jardins, ses murs blancs, sa casbah crénelée et ses minarets ornés de faïences.",Description visuelle (paysage urbain),14,30
Campement de route à Tanger,"Une petite ville nomade composée de tentes habitées par l'escorte arabe, entourée de chevaux, chameaux et mules de charge pâturant sur une colline dominant Tanger.",Description visuelle (scène de campement),22-25,30
Place du Grand-Marché à Tanger,"Une vaste esplanade poussiéreuse remplie de chameaux agenouillés, de Bédouins, de marchandises, et animée par des sorciers nègres battant le tambour au crépuscule.",Description visuelle (scène de marché),26,30
Tente de maître marocaine,"Tente blanche en forme d'immense parapluie, ornée de galons bleus et de trèfles en maroquin rouge, avec un mur circulaire en toile (tarabieh) décoré d'arabesques bleues.",Description visuelle (architecture nomade),56-57,30
L'avant-garde du Sultan,"Trois cavaliers nègres de front menant la colonne : celui du milieu porte l'étendard de soie rouge à boule de cuivre, les autres tiennent des fusils aux canons brillants.",Description visuelle (personnages),73,30
Fantasia de bienvenue,"Cavaliers arabes en burnous multicolores lançant leurs chevaux au galop, brandissant des fusils de cuivre et tirant à poudre dans un tourbillon de poussière et de fumée.",Description visuelle (scène d'action),76-77,30
La Mouna (Offrande royale),"Un cortège d'hommes graves drapés de blanc apportant des jarres de lait, du beurre, des paniers d'œufs, des cages de poulets et des moutons devant la tente du ministre.",Description visuelle (scène de cérémonie),90,30
Les suppliantes sous la tente,"Trois femmes voilées entourées d'enfants, enlaçant le mât du pavillon de France près d'une génisse sacrifiée, éclairées par des fanaux dans la nuit.",Description visuelle (scène dramatique),98-100,30
Traversée de l'Oued M'cazen,"Scène de désordre montrant des hommes nus et des chevaux traversant une rivière boueuse à la nage, tandis que les bagages passent sur un radeau de roseaux (mahadia).",Description visuelle (scène de voyage),148-152,30
Czar-el-Kébir,"Ville entourée de bois d'oliviers et d'orangers, caractérisée par des minarets brun sombre, des toits en tuiles et des portes ogivales ornées d'arabesques.",Description visuelle (paysage urbain),163-164,30
Mosaïques et colonnades intérieures,"Cours intérieures de maisons de notables (Chaouch et le Chérif) avec colonnades, pavages de mosaïques, fontaines et murs blanchis à la chaux.",Description visuelle (architecture intérieure),185-187,30
Plaine de fleurs du Maroc,"Vastes étendues sauvages composées de zones de mauves roses, de marguerites blanches et de boutons d'or jaunes, créant un tapis multicolore à perte de vue.",Description visuelle (paysage naturel),207,30
Pont sur l'Oued M'kez,"Pont ancien aux arceaux ornés de faïences vertes et marqué du sceau de Salomon, situé dans un paysage pastoral de montagnes boisées.",Description visuelle (architecture),309,30
L'entrée à Fez,Haies d'honneur formées par des cavaliers aux costumes multicolores et de l'infanterie rouge du Sultan devant les remparts gigantesques et les portes ogivales de la ville.,Description visuelle (scène historique),339-343,30
La Mosquée Karaouïn,"Vaste sanctuaire montrant des perspectives de colonnes, des milliers de lanternes, des pavés de mosaïques et des cours inondées de soleil avec des fontaines de marbre.",Description visuelle (architecture religieuse),414-418,30
Apparition du Sultan Mouley-Hassan,"Le Sultan, drapé de mousseline blanche sur un cheval blanc, escorté de nègres herculéens agitant des chasse-mouches et abrité sous un grand parasol rouge.",Description visuelle (portrait impérial),439-442,30
Terrasses de Fez au crépuscule,Vue panoramique des toits gris de la ville se couvrant de femmes en costumes éclatants et hautes mitres (hantouze) sous une lumière rose dorée.,Description visuelle (scène de genre),484-486,30
La Porte de Mouley-Ismaïl à Mékinez,"Gigantesque ogive flanquée de bastions, entièrement revêtue de mosaïques de faïence jaunes et vertes avec des inscriptions religieuses noires.",Description visuelle (architecture monumentale),768-769,30
Appel de l'Imam Idris aux Marocains,Fac-similé d'un manuscrit ancien écrit en calligraphie arabe représentant la lettre de l'Imam Idris adressée aux tribus marocaines.,Fac-similé de document,11,31
Mausolée d'Idris Ier à Zerhoun,Photographie montrant l'architecture extérieure du sanctuaire dédié au fondateur de la dynastie Idrisside.,Photographie,14,31
Document de fondation de la mosquée de Tlemcen par les Idrissides,Reproduction d'un fragment d'inscription épigraphique mentionnant le nom d'Idris.,Fac-similé de document,15,31
Image de la ville de Fès,Vue panoramique ou détail architectural du cœur historique de la ville de Fès.,Photographie/Dessin,16,31
Barrage Idris Ier aux environs de Fès,Vue d'une infrastructure hydraulique moderne portant le nom du souverain historique.,Photographie,17,31
Rive des Andalous et rive des Kairouanais à Fès,Schéma ou croquis illustrant la division topographique originelle de la ville de Fès.,Dessin/Schéma,21,31
Plus ancien tracé de calligraphie coufique trouvé au Maroc,Détail d'une inscription calligraphique coufique sur pierre ou bois.,Photographie de vestige,23,31
La plus ancienne monnaie idrisside,Reproduction du recto et verso d'un dirham frappé sous le règne idrisside.,Dessin/Photographie de monnaie,26,31
Murailles de Basra au Maroc,Photographie montrant les vestiges des remparts de l'ancienne cité de Basra Al-Maghrib.,Photographie,29,31
Carte politique de l'État Idrisside,Carte géographique montrant l'étendue territoriale et les villes sous contrôle idrisside au Maroc.,Carte,31,31
Lettre d'Idris Ier aux habitants d'Égypte,Reproduction manuscrite d'une correspondance diplomatique d'Idris Ier.,Fac-similé de document,41,31
Rencontre entre Charlemagne et Souleymane al-Arabi,Illustration historique dépeignant l'entretien diplomatique entre le roi des Francs et le chef musulman.,Dessin historique,52,31
Partie de la mosquée d'Ubayd Allah al-Mahdi,Vue architecturale d'un élément de la mosquée fatimide de Mahdia.,Photographie/Dessin,69,31
Plus ancien minaret de son genre dans le monde islamique,Photographie du minaret historique de la mosquée Al-Qarawiyyin à Fès.,Photographie,74,31
Vue de Mahdia,Vue d'ensemble de la ville côtière de Mahdia en Tunisie.,Photographie,82,31
Statue de l'émir Abd al-Rahman al-Dakhil,Photographie du monument érigé en hommage au fondateur des Omeyyades d'Espagne à Almuñécar.,Photographie de sculpture,88,31
La Girafe et le Faucon,Dessins représentant des animaux exotiques offerts lors de cadeaux diplomatiques.,Dessin,95,31
Le premier aviateur Abbas Ibn Firnas,Portrait imaginaire ou représentation de l'inventeur marocain d'Andalousie.,Dessin,106,31
Ibn Hayyan tel qu'imaginé par un peintre marocain,Portrait artistique du célèbre historien andalou.,Dessin/Peinture,110,31
Vue de la mosquée de Cordoue,Détail de l'architecture intérieure (arcs et colonnes) de la capitale omeyyade.,Photographie,141,31
Ville de Madinat al-Zahra à Cordoue,Photographie des ruines et de la restauration du site palatial omeyyade.,Photographie,180,31
Dessin d'une escouade de chevaux,Représentation graphique de chevaux arabes.,Dessin,250,31
Dessin d'Al-Hassan Ibn Kannun,Portrait imaginé du dernier souverain idrisside.,Dessin,277,31
Porte d'Al-Futuh et Porte d'Ajissa à Fès,Dessins des deux portes historiques monumentales de la ville de Fès.,Dessin,301,31
Abd al-Rahman III recevant le moine Nicolas,Tableau historique représentant l'audience du calife à l'envoyé de l'empereur byzantin.,Peinture/Reproduction d'œuvre,311,31
Abd al-Rahman III recevant le moine Jean de Gorze,Reproduction d'une peinture illustrant l'ambassade envoyée par l'empereur d'Allemagne.,Peinture/Reproduction d'œuvre,318,31
Carte de l'Afrique septentrionale et Moyen-Orient,Une carte détaillée montrant les routes des caravanes d'esclaves et les principaux marchés dans la deuxième moitié du XIXe siècle.,Carte,94-95,32
Koufi ancien sur bois de cèdre,Reproduction d'une inscription calligraphique ancienne trouvée dans la mosquée Al-Quaraouiyine.,Fac-similé de document,419,33
Tableau de la récolte de canne à sucre,Illustration montrant des travailleurs engagés dans la récolte de canne à sucre.,Dessin,14 (PDF 1763),33
Dahir de Moulay Ismaïl,Fac-similé d'un décret royal concernant les bénéfices de la pêche à l'alose.,Fac-similé de document,20 (PDF 470),33
Écriture Fassi ou Qalam al-Roumi,Tableau montrant les correspondances entre les chiffres et les signes d'une ancienne écriture marocaine.,Graphique/Tableau,41 (PDF 582-592),33
Codes secrets de l'ambassadeur Announ,Illustration de symboles cryptographiques utilisés pour les communications secrètes au XVIe siècle.,Dessin/Symboles,57 (PDF 664-665),33
Réception de l'ambassadeur britannique à Meknès,Illustration d'une cérémonie officielle présidée par le sultan Moulay Ismaïl accueillant une délégation étrangère.,Dessin/Peinture,74 (PDF 741),33
Bab Mansour El Aleuj,Vue de la célèbre porte monumentale de Meknès.,Dessin,77 (PDF 749),33
Cloche transformée en lustre,Dessin d'une cloche d'église espagnole réutilisée comme luminaire dans une mosquée marocaine.,Dessin,88 (PDF 787),33
Le faucon dans les ouvrages marocains,"Illustration montrant un faucon, symbole de la chasse traditionnelle et des échanges diplomatiques.",Dessin,90 (PDF 792),33
Horloge à bougie de Grenade,Schéma technique d'un mécanisme ancien pour mesurer le temps nocturne.,Dessin technique,142 (PDF 967),33
Noria hydraulique à Fès,Dessin montrant le mécanisme d'une roue à eau utilisée pour l'irrigation.,Dessin,152 (PDF 1012),33
En-têtes de journaux de Tanger,"Fac-similés des titres de diverses publications de presse en langues étrangères (Le Réveil du Maroc, Al-Moghreb Al-Aksa).",Fac-similé de document,246 (PDF 1382-1430),33
Timbre postal et cachets,Illustration des premiers timbres marocains représentant la zaouïa Aïssaoua de Tanger.,Dessin/Fac-similé,240 (PDF 1363),33
Le messager (Raqqas),Illustration montrant un messager à pied transportant le courrier royal.,Dessin,230 (PDF 1327),33
Not in source,Arbre généalogique de la famille Pallache montrant les descendants d'Isaac Pallache.,Diagramme généalogique,8,6
Not in source,"Index alphabétique des noms propres, lieux et termes mentionnés dans le volume.",Index,385-424,34
Ex-libris de l'Université du Michigan,Marque de propriété de la bibliothèque de l'Université du Michigan avec la mention 'Artes Scientia Veritas' et l'année 1817.,Sceau / Ex-libris,Not in source,14
Logo Ministère de l'Europe et des Affaires Étrangères,"Emblème officiel de la République française avec la devise Liberté, Égalité, Fraternité.",Logo / Armoiries,Not in source,16
Logo Bibliothèque diplomatique numérique (BDN),Identifiant visuel du site des Archives diplomatiques.,Logo,Not in source,16
Le commandant Muhammad ibn Abd al-Malik,"Représentation de l'ambassadeur du roi Mohammed III auprès de l'empereur d'Autriche Joseph II, d'après un tableau original de Loschenkohl.",Peinture/Dessin (reproduction),Not in source,24
